"Table B6. Number of Active DO Residents, by Race/Ethnicity (Alone or In Combination) and GME Specialty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22 Active Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The table below displays the number and percentage of 2021-22 active DO residents by race/ethnicity (alone or in combination) and specialty. ""Alone or in combination"" indicates those who selected a race/ethnicity category alone or in combination with another race/ethnicity response. The sum of the race/ethnicity categories may not add to the total number of residents since a resident could designate multiple race/ethnicity categories. For example, in 2021-22, two active DO residents who identified as American Indian or Alaska Native alone or in combination with any other race/ethnicity response were training in Anesthesiology. Race/ethnicity data are only shown for U.S. citizens or permanent residents. The ""Non-U.S. Citizen or Non-Permanent Resident"" category may include residents with unknown citizenship. Data are for graduates of DO-granting U.S. schools. Counts and percentages shown for specialties do not include counts and percentages for the related subspecialties. Please contact residentreport@aamc.org with any comments or questions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected Finding: The distribution of active DO residents by race/ethnicity varies across specialties. Overall, 64.4% of active U.S. citizen DO residents in 2021-22 reported White, 21.5% reported Asian, 5.1% reported Hispanic, 2.8% reported Black or African American, 0.6% reported American Indian or Alaska Native, and 0.2% reported Native Hawaiian or Other Pacific Islander. Additionally, 8.5% of active DO residents were non-U.S. citizens in 2021-22.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGME-Accredited Specialties and Subspecialties,,Active Residents who are Graduates of DO-granting U.S. Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American Indian or Alaska Native,,Asian,,Black or African American,,"Hispanic, Latino, or of Spanish Origin",,Native Hawaiian or Other Pacific Islander,,White,,"Other 
Race/Ethnicity",,Unknown Race/Ethnicity,,Non-U.S. Citizen or Non-Permanent Resident,,Unduplicated Total,,,,,,,,,,,,,,,
Thoracic Surgery,,0,0.0,3,21.4,0,0.0,1,7.1,0,0.0,11,78.6,0,0.0,0,0.0,0,0.0,14,,,,,,,,,,,,,,,
,Congenital Cardiac Surgery (Thoracic Surgery),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
Thoracic Surgery: Integrated,,0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,3,50.0,2,33.3,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
Transitional Year,,2,0.5,101,23.4,18,4.2,22,5.1,0,0.0,276,63.9,10,2.3,2,0.5,34,7.9,432,,,,,,,,,,,,,,,
Urology,,0,0.0,10,10.0,3,3.0,3,3.0,0,0.0,72,72.0,4,4.0,0,0.0,9,9.0,100,,,,,,,,,,,,,,,
,Female Pelvic Medicine and Reconstructive Surgery (Urology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Pediatric Urology (Urology),0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
Vascular Surgery: Integrated,,0,0.0,3,17.6,1,5.9,0,0.0,0,0.0,11,64.7,0,0.0,0,0.0,2,11.8,17,,,,,,,,,,,,,,,
Combined Specialties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Medicine/Family Medicine,0,0.0,6,40.0,0,0.0,2,13.3,0,0.0,8,53.3,0,0.0,0,0.0,0,0.0,15,,,,,,,,,,,,,,,
,Family Medicine/Osteopathic Neuromusculoskeletal Medicine,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,5,,,,,,,,,,,,,,,
,Family Medicine/Preventive Medicine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Internal Medicine/Anesthesiology,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1,,,,,,,,,,,,,,,
,Internal Medicine/Emergency Medicine,0,0.0,4,9.8,1,2.4,0,0.0,0,0.0,33,80.5,2,4.9,0,0.0,2,4.9,41,,,,,,,,,,,,,,,
,Internal Medicine/Pediatrics,2,1.3,34,21.7,9,5.7,4,2.5,0,0.0,105,66.9,3,1.9,1,0.6,5,3.2,157,,,,,,,,,,,,,,,
,Internal Medicine/Psychiatry,0,0.0,1,9.1,0,0.0,1,9.1,2,18.2,9,81.8,0,0.0,0,0.0,0,0.0,11,,,,,,,,,,,,,,,
,Pediatrics/Anesthesiology,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Pediatrics/Emergency Medicine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,100.0,0,0.0,0,0.0,0,0.0,7,,,,,,,,,,,,,,,
,Pediatrics/Medical Genetics,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,77.8,0,0.0,0,0.0,2,22.2,9,,,,,,,,,,,,,,,
,Pediatrics/Physical Medicine and Rehabilitation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Pediatrics/Psychiatry/Child and Adolescent Psychiatry,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,3,60.0,0,0.0,0,0.0,1,20.0,5,,,,,,,,,,,,,,,
,Psychiatry/Family Practice,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Psychiatry/Neurology,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
Total,,143,0.6%,"5,429",21.5%,709,2.8%,"1,285",5.1%,48,0.2%,"16,275",64.4%,867,3.4%,43,0.2%,"2,139",8.5%,"25,260",,,,,,,,,,,,,,,
Note: ACGME specialties and subspecialties with no active DO residents in 2021 were excluded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: GME Track® as of Aug. 25, 2022, and IND.IND_IDENT as of Oct. 5, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© 2022 Association of American Medical Colleges. May be reproduced and distributed with attribution for educational and noncommercial purposes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
